Fire Name,Date (mm/dd/yyyy),Time Stamp Assigned,Unit Type Assigned,Coordinate Location,Action,Fire Status,Environmental Observations,Reasoning
Cele Rd Grass fire ,01/30/2018,13:11:45,Fire Engine (ENG),"30.442719, -97.526084",Fire Supression and water delivery ,Grass fire ,,Apply water to knock down the flames
Cele Rd Grass fire ,01/30/2018,13:12:16,Battalion Unit (BAT),"30.442719, -97.526084",Direct and coordinate the unit,Grass fire ,,Manage overall strategy and resource coordination
Cele Rd Grass fire ,01/30/2018,13:13:02,Scene Assessment For Entry (SAFE),"30.442719, -97.526084",Scene evaluation,Grass fire ,,Ensure situational awareness and conditions before allowing entry
Cele Rd Grass fire ,01/30/2018,13:13:08,Fire Engine (ENG),"30.442719, -97.526084",Fire Supression and water delivery ,Changed from grass fire to brush fire,,Apply water to knock down the flames
Cele Rd Grass fire ,01/30/2018,13:15:09,Fire Engine (ENG),"30.442719, -97.526084",Fire Supression and water delivery ,Brush fire,,Apply water to knock down the flames
Cele Rd Grass fire ,01/30/2018,13:18:03,Fire truck arival (FTA),"30.442719, -97.526084",Support access and rescue,Brush fire,,"Supports the engine by performing rescues, ventilating the roof, and providing access to higher levels"
Cele Rd Grass fire ,01/30/2018,13:18:26,Brush Truck (BT),"30.442719, -97.526084",Water delivery and off-road access,Brush fire ,,Supply water to engines and patrol the perimeter
Cele Rd Grass fire ,01/30/2018,13:18:30,Fire Engine (ENG),"30.442719, -97.526084",Fire Supression and water delivery ,Brush fire,,Apply water to knock down the flames
Cele Rd Grass fire ,01/30/2018,13:20:41,Brush Truck (BT),"30.442719, -97.526084",Water delivery and off-road access,Brush fire,,Supply water to engines and patrol the perimeter
Cele Rd Grass fire ,01/30/2018,13:22:26,Fire Engine (ENG),"30.442719, -97.526084",Fire Supression and water delivery ,Brush fire,,Apply water to knock down the flames
Cele Rd Grass fire ,01/30/2018,13:25:58,Community Medic (CM),"30.442719, -97.526084","Firefighter rehab, minor injuries, resident checkups",Brush fire,,Firefighter injured 
Cele Rd Grass fire ,01/30/2018,13:29:24,Quint (QNT),"30.442719, -97.526084","Water tank, pump, fire hose, and ladder",Changed from brush fire to major brush fire,,Supply more water and apply water from a higher level
Cele Rd Grass fire ,01/30/2018,13:29:25,Brush Truck (BT),"30.442719, -97.526084",Water delivery and off-road access,Major brush fire,,Supply water to engines and patrol the perimeter
Cele Rd Grass fire ,01/30/2018,13:29:56,Fire Engine (ENG),"30.442719, -97.526084",Fire Supression and water delivery ,Major brush fire,,Apply water to knock down the flames
Cele Rd Grass fire ,01/30/2018,13:31:14,Brush Truck (BT),"30.442719, -97.526084",Water delivery and off-road access,Major brush fire,,Supply water to engines and patrol the perimeter
Cele Rd Grass fire ,01/30/2018,13:37:30,Battalion Unit (BAT),"30.442719, -97.526084",Direct and coordinate the unit,Major brush fire,,Manage overall strategy and resource coordination
Cele Rd Grass fire ,01/30/2018,14:18:52,Fire Engine (ENG),"30.442719, -97.526084",Fire Supression and water delivery ,Changed from major brush fire to grass fire,,Apply water to knock down the flames
Cele Rd Grass fire ,01/30/2018,14:29:11,Fire Engine (ENG),"30.442719, -97.526084",Fire Supression and water delivery ,Grass fire,,Apply water to knock down the flames
Cele Rd Grass fire ,01/30/2018,14:30:52,Fire truck arival (FTA),"30.442719, -97.526084",Support access and rescue,Grass fire,,"Supports the engine by performing rescues, ventilating the roof, and providing access to higher levels"
Cele Rd Grass fire ,01/30/2018,14:32:23,Brush Truck (BT),"30.442719, -97.526084",Water delivery and off-road access,Grass fire,,Supply water to engines and patrol the perimeter
Cele Rd Grass fire ,01/30/2018,14:33:30,Working Fire (WF),"30.442719, -97.526084",Trigger additional dispatch,Growing grass fire,,Upgrade status indicating a confirmed fire requiring full operations
Cele Rd Grass fire ,01/30/2018,14:34:36,Brush Truck (BT),"30.442719, -97.526084",Water delivery and off-road access,Growing grass fire,,Supply water to engines and patrol the perimeter
Cele Rd Grass fire ,01/30/2018,14:44:13,Brush Truck (BT),"30.442719, -97.526084",Water delivery and off-road access,Slowing grass fire,,Supply water to engines and patrol the perimeter
Cele Rd Grass fire ,01/30/2018,15:37:32,Working Fire Squad (WFSQ),"30.442719, -97.526084",Rescue and final support tasks,Smoldering ground,,Check area for any last embers 
Sonoma County Fire,10/18/2017,23:00,Fire Communications Dispatch Center (REDCOM),"38.557438, -122.653119",Alert to fire in mountains of Sonoma County,Multiple small ground fires,Westward winds pushing fire into the eastern hills,Create a dispatch team to fight the fire
Sonoma County Fire,10/18/2017,23:11:00,Fire Engine (ENG),"38.557438, -122.653119",Fire Supression and water delivery ,Multiple small ground fires,Westward winds pushing fire into the eastern hills,Apply water to knock down the flames
Sonoma County Fire,10/18/2017,23:35:00,Battalion Unit (BAT),"38.557438, -122.653119",Direct and coordinate the unit,Multiple small ground fires,Westward winds pushing fire into the eastern hills,Manage overall strategy and resource coordination
Sonoma County Fire,10/18/2017,23:44:00,Division of Emergency Management (DEM),"38.573992, -122.573829",Issue an evacuation of Calistoga,Multiple small ground fires,Westward winds push fire into Sonoma county,Fire entering into the town
